DV;Bloc;N;Singular;model_type;beta_econ;se_econ;p_econ;beta_esp;se_esp;p_esp;OR;OR_CI_lo;OR_CI_hi;mcfadden;aic;bic;lr_p;brant_chi2;brant_p;po_ok;media_e0;media_e1;media_cf;delta_Y;p_econ_bonf;p_econ_holm;p_econ_bh;p_esp_bh;p_esp_holm;stars_econ;stars_econ_bh;stars_esp
governo_atual_sabe;H7-Ideologia;145;False;ordered_logit;1.1491;0.6596;0.0815;-1.9778;0.2933;0.0;3.155;0.866;11.494;0.3686;190.91;217.7;0.0;7.924;0.8932;True;0.5038167938931297;1.1428571428571428;0.7866486214659852;0.2457;1.0;1.0;0.4799444444444445;0.0;0.0;;;***
governo_deve_intervir;H7-Ideologia;145;False;ordered_logit;-0.1115;0.6231;0.858;-1.0893;0.19;0.0;0.895;0.264;3.034;0.1785;262.14;288.93;0.0;3.859;0.9963;True;0.6946564885496184;0.6428571428571429;0.7142084886742831;-0.033;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
entrada_estrangeiros_mercado;H4-Antiestrangeiro;145;False;ordered_logit;0.8252;0.6175;0.1814;-0.0217;0.1614;0.8932;2.282;0.68;7.657;0.0226;274.96;301.75;0.5476;5.723;0.973;True;1.3206106870229009;1.6428571428571428;1.3897967957100563;0.2433;1.0;1.0;0.6867285714285715;0.8932;1.0;;;
indústria_nacional_deve;H4-Antiestrangeiro;145;False;ordered_logit;-0.2997;0.6012;0.6181;-1.0823;0.1882;0.0;0.741;0.228;2.407;0.1576;278.9;305.69;0.0;2.995;0.9991;True;1.183206106870229;1.0714285714285714;1.1448714770466373;-0.0968;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
brasil_chance_virar;H6-Pessimista;145;False;ordered_logit;-0.845;0.583;0.1472;-0.5691;0.1753;0.0012;0.43;0.137;1.347;0.0546;287.45;314.24;0.0295;1.86;0.9999;True;1.4122137404580153;1.1428571428571428;1.425653767167984;-0.3164;1.0;1.0;0.6001230769230769;0.002193103448275862;0.0324;;;**
lucros_empresariais_ocorrem;H7-Ideologia;144;False;ordered_logit;0.2712;0.6245;0.6641;-1.2571;0.1992;0.0;1.312;0.386;4.46;0.1907;269.47;296.2;0.0;2.918;0.9992;True;0.9538461538461539;1.2142857142857142;1.0691131058733006;0.0907;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
competição_entre_empresas;H5-Antitrabalho;145;False;ordered_logit;1.1816;1.1256;0.2939;0.8667;0.2375;0.0003;3.26;0.359;29.602;0.1266;164.17;190.96;0.0035;2.313;0.9998;True;1.7557251908396947;1.9285714285714286;1.7940564929159462;0.1442;1.0;1.0;0.7877125;0.0006624999999999999;0.0093;;;***
brasil_deveria_priorizar;H4-Antiestrangeiro;144;False;ordered_logit;-0.3265;0.6073;0.5908;-0.5877;0.1726;0.0007;0.721;0.219;2.372;0.1144;278.81;305.54;0.0;1.983;0.9999;True;0.9307692307692308;0.7857142857142857;0.8663745850413539;-0.1007;1.0;1.0;0.9139901960784313;0.0014839999999999999;0.0203;;;***
automação_prejudica_mercado;H5-Antitrabalho;145;False;ordered_logit;-0.1473;0.7395;0.8421;-0.5072;0.202;0.012;0.863;0.203;3.677;0.0922;204.61;231.4;0.0084;7.501;0.9137;True;0.32061068702290074;0.2857142857142857;0.3043831937986968;-0.0311;1.0;1.0;0.9139901960784313;0.018474285714285717;0.24;;;*
brasil_deveria_adotar;H4-Antiestrangeiro;144;False;ordered_logit;0.6214;0.6547;0.3425;1.1636;0.2057;0.0;1.862;0.516;6.716;0.1739;230.57;257.3;0.0;6.067;0.9648;True;1.4307692307692308;1.5;1.3394355273537832;0.1438;1.0;1.0;0.7877125;0.0;0.0;;;***
